 0.415828E+01 -.288393E+01 -.166308E+01 0.327685E+02
 0.494297E+01 -.286441E+01 -.172029E+01 0.373738E+02
 0.418982E+01 -.287411E+01 -.167517E+01 0.336903E+02
 0.475230E+01 -.287792E+01 -.164956E+01 0.332824E+02
 0.500878E+01 -.287390E+01 -.173409E+01 0.361936E+02
 0.381790E+01 -.288219E+01 -.155853E+01 0.381504E+02
 0.412468E+01 -.285706E+01 -.170000E+01 0.395843E+02
 0.470308E+01 -.287572E+01 -.170000E+01 0.339808E+02
 0.350000E+01 -.287066E+01 -.170000E+01 0.348655E+02
 0.420513E+01 -.288178E+01 -.163364E+01 0.332772E+02
 0.371633E+01 -.285279E+01 -.165164E+01 0.425016E+02
 0.379918E+01 -.288877E+01 -.164336E+01 0.330991E+02
 0.417915E+01 -.287738E+01 -.164791E+01 0.333650E+02
 0.381773E+01 -.287058E+01 -.163139E+01 0.352976E+02
 0.445430E+01 -.289042E+01 -.152825E+01 0.409324E+02
 0.350000E+01 -.286281E+01 -.175995E+01 0.409983E+02
 0.576711E+01 -.285625E+01 -.166426E+01 0.401188E+02
 0.417189E+01 -.285606E+01 -.163560E+01 0.413362E+02
 0.402867E+01 -.291164E+01 -.168686E+01 0.408193E+02
 0.224263E+01 -.288861E+01 -.174826E+01 0.383859E+02
 0.381057E+01 -.285912E+01 -.170000E+01 0.386334E+02
 0.349468E+01 -.287346E+01 -.157442E+01 0.383999E+02
 0.329425E+01 -.289160E+01 -.152906E+01 0.408058E+02
 0.424615E+01 -.287682E+01 -.165447E+01 0.333227E+02
 0.440131E+01 -.286647E+01 -.170000E+01 0.359212E+02
 0.456686E+01 -.287553E+01 -.165884E+01 0.334653E+02
 0.600000E+01 -.285502E+01 -.170000E+01 0.407407E+02
 0.319172E+01 -.286026E+01 -.175420E+01 0.413442E+02
 0.367857E+01 -.291385E+01 -.163823E+01 0.406645E+02
 0.424589E+01 -.289423E+01 -.154025E+01 0.398455E+02
 0.405906E+01 -.287512E+01 -.165720E+01 0.335597E+02
 0.377759E+01 -.286522E+01 -.176616E+01 0.409641E+02
 0.350225E+01 -.290575E+01 -.173660E+01 0.420089E+02
 0.508434E+01 -.289597E+01 -.172831E+01 0.374925E+02
 0.428920E+01 -.285610E+01 -.170000E+01 0.400932E+02
 0.443670E+01 -.286030E+01 -.175049E+01 0.408611E+02
 0.350000E+01 -.288691E+01 -.156995E+01 0.367728E+02
 0.382225E+01 -.289268E+01 -.160349E+01 0.347819E+02
 0.548834E+01 -.287415E+01 -.174795E+01 0.374023E+02
 0.372755E+01 -.289842E+01 -.161811E+01 0.351582E+02
 0.600000E+01 -.288674E+01 -.168896E+01 0.333263E+02
 0.599852E+01 -.289658E+01 -.170000E+01 0.354914E+02
 0.423072E+01 -.289307E+01 -.156875E+01 0.371168E+02
 0.389466E+01 -.286511E+01 -.164713E+01 0.365501E+02
 0.416409E+01 -.289733E+01 -.169900E+01 0.356917E+02
 0.404612E+01 -.286603E+01 -.164291E+01 0.363421E+02
 0.403707E+01 -.285304E+01 -.168378E+01 0.416372E+02
 0.365051E+01 -.287559E+01 -.166904E+01 0.334196E+02
 0.261530E+01 -.288351E+01 -.171441E+01 0.345864E+02
 0.350000E+01 -.290079E+01 -.153332E+01 0.414907E+02
 0.471285E+01 -.288084E+01 -.170000E+01 0.336196E+02
 0.376121E+01 -.290512E+01 -.170000E+01 0.385270E+02
 0.379769E+01 -.289603E+01 -.156587E+01 0.376816E+02
 0.370200E+01 -.285793E+01 -.170000E+01 0.392183E+02
 0.394711E+01 -.290882E+01 -.162849E+01 0.383534E+02
 0.410972E+01 -.286690E+01 -.155823E+01 0.423080E+02
 0.390975E+01 -.289504E+01 -.158103E+01 0.364166E+02
 0.320404E+01 -.287978E+01 -.163342E+01 0.334740E+02
 0.600000E+01 -.289288E+01 -.172173E+01 0.361025E+02
 0.600000E+01 -.288231E+01 -.171799E+01 0.345804E+02
 0.410577E+01 -.288138E+01 -.169448E+01 0.333937E+02
 0.359287E+01 -.287136E+01 -.162676E+01 0.353223E+02
 0.422332E+01 -.290898E+01 -.160375E+01 0.390836E+02
 0.485250E+01 -.288857E+01 -.156144E+01 0.375051E+02
 0.545592E+01 -.289219E+01 -.162301E+01 0.339040E+02
 0.447025E+01 -.287337E+01 -.174362E+01 0.370673E+02
 0.387003E+01 -.291230E+01 -.163653E+01 0.398372E+02
 0.215662E+01 -.286401E+01 -.162323E+01 0.385404E+02
 0.317135E+01 -.290394E+01 -.170000E+01 0.380165E+02
 0.406543E+01 -.285180E+01 -.168517E+01 0.423487E+02
 0.271083E+01 -.287081E+01 -.175764E+01 0.390902E+02
 0.320617E+01 -.286585E+01 -.161140E+01 0.380305E+02
 0.414524E+01 -.288194E+01 -.159206E+01 0.353758E+02
 0.417607E+01 -.285473E+01 -.166953E+01 0.408667E+02
 0.407974E+01 -.288035E+01 -.178348E+01 0.417786E+02
 0.423168E+01 -.288632E+01 -.176465E+01 0.396156E+02
 0.600000E+01 -.288678E+01 -.161387E+01 0.338875E+02
 0.353140E+01 -.288215E+01 -.152826E+01 0.414296E+02
 0.198979E+01 -.289453E+01 -.150853E+01 0.425878E+02
 0.416091E+01 -.287001E+01 -.156400E+01 0.405493E+02
 0.433411E+01 -.288559E+01 -.170000E+01 0.337240E+02
 0.580335E+01 -.288581E+01 -.161810E+01 0.337042E+02
 0.177568E+01 -.291480E+01 -.167877E+01 0.419827E+02
 0.421446E+01 -.288144E+01 -.165317E+01 0.328869E+02
 0.406421E+01 -.285697E+01 -.175159E+01 0.422970E+02
 0.100000E+01 -.291262E+01 -.156464E+01 0.400381E+02
 0.439616E+01 -.286678E+01 -.163931E+01 0.362057E+02
 0.429033E+01 -.287838E+01 -.169922E+01 0.337049E+02
 0.381473E+01 -.286419E+01 -.170000E+01 0.366432E+02
 0.519526E+01 -.288437E+01 -.154045E+01 0.397852E+02
 0.419343E+01 -.288700E+01 -.174793E+01 0.376286E+02
 0.394169E+01 -.289838E+01 -.159837E+01 0.359926E+02
 0.304379E+01 -.287725E+01 -.154951E+01 0.399241E+02
 0.365014E+01 -.286838E+01 -.167169E+01 0.350075E+02
 0.362370E+01 -.286162E+01 -.161553E+01 0.395655E+02
 0.376242E+01 -.288477E+01 -.169707E+01 0.335572E+02
 0.482360E+01 -.286700E+01 -.169390E+01 0.355815E+02
 0.468488E+01 -.289993E+01 -.165144E+01 0.350521E+02
 0.412152E+01 -.286709E+01 -.175880E+01 0.396693E+02
 0.436818E+01 -.288848E+01 -.170000E+01 0.340026E+02
 0.374099E+01 -.287088E+01 -.166072E+01 0.344208E+02
 0.417183E+01 -.287879E+01 -.159234E+01 0.357667E+02
 0.439634E+01 -.286228E+01 -.167848E+01 0.371070E+02
 0.366532E+01 -.291652E+01 -.164432E+01 0.421389E+02
 0.491794E+01 -.290251E+01 -.163919E+01 0.358912E+02
 0.453771E+01 -.285223E+01 -.170571E+01 0.422571E+02
 0.428229E+01 -.287566E+01 -.164789E+01 0.336156E+02
 0.322817E+01 -.287137E+01 -.165902E+01 0.343348E+02
 0.352972E+01 -.286911E+01 -.163493E+01 0.355999E+02
 0.398031E+01 -.286940E+01 -.158368E+01 0.388237E+02
 0.449361E+01 -.287763E+01 -.160133E+01 0.353602E+02
 0.405327E+01 -.286010E+01 -.161143E+01 0.406443E+02
 0.364318E+01 -.286387E+01 -.167394E+01 0.365006E+02
 0.341292E+01 -.286784E+01 -.168319E+01 0.352119E+02
 0.573581E+01 -.288352E+01 -.151997E+01 0.422679E+02
 0.430601E+01 -.288445E+01 -.166758E+01 0.328061E+02
 0.242853E+01 -.288323E+01 -.164236E+01 0.330962E+02
 0.444992E+01 -.285184E+01 -.167909E+01 0.424024E+02
 0.463981E+01 -.290000E+01 -.170000E+01 0.365842E+02
 0.420644E+01 -.287876E+01 -.170255E+01 0.338156E+02
 0.480254E+01 -.290179E+01 -.166055E+01 0.356876E+02
 0.407156E+01 -.288105E+01 -.171826E+01 0.346085E+02
 0.429603E+01 -.287131E+01 -.176172E+01 0.392271E+02
 0.408673E+01 -.286987E+01 -.162586E+01 0.357872E+02
 0.417774E+01 -.288047E+01 -.153954E+01 0.404075E+02
 0.409312E+01 -.286339E+01 -.170337E+01 0.370394E+02
 0.400216E+01 -.285304E+01 -.171239E+01 0.420145E+02
 0.390562E+01 -.288162E+01 -.165764E+01 0.328525E+02
 0.350000E+01 -.288284E+01 -.158928E+01 0.354865E+02
 0.386952E+01 -.288728E+01 -.178011E+01 0.420217E+02
 0.413279E+01 -.287361E+01 -.158937E+01 0.370546E+02
 0.256744E+01 -.287308E+01 -.170000E+01 0.346114E+02
 0.172168E+01 -.287899E+01 -.169029E+01 0.348404E+02
 0.342192E+01 -.286940E+01 -.165911E+01 0.348507E+02
 0.427210E+01 -.286296E+01 -.176196E+01 0.411110E+02
 0.337744E+01 -.286105E+01 -.170936E+01 0.381377E+02
 0.437725E+01 -.290249E+01 -.170209E+01 0.375864E+02
 0.415896E+01 -.288053E+01 -.163557E+01 0.333176E+02
 0.154440E+01 -.287097E+01 -.168392E+01 0.372364E+02
 0.464007E+01 -.288669E+01 -.166948E+01 0.329093E+02
 0.350000E+01 -.289986E+01 -.174852E+01 0.409802E+02
 0.471332E+01 -.289814E+01 -.170462E+01 0.363085E+02
 0.481976E+01 -.289888E+01 -.166870E+01 0.349866E+02
