     1   1 0.327685E+02  0.415828E+01  -.288393E+01  -.166308E+01
     1   2 0.106571E+05  0.106207E+01  -.159133E+01  -.238596E+01
     1   3 0.102752E+05  0.353667E+01  -.178548E+01  -.513550E+00
     1   4 0.119665E+05  0.505981E+01  -.102625E+01  -.194640E+01
     1   5 0.292768E+04  0.415595E+01  -.399675E+01  -.477368E+00
     1   6 0.119636E+05  0.402679E+01  -.153448E+01  -.890499E+00
     1   7 0.187607E+04  0.479819E+01  -.334978E+01  -.256592E+01
     1   8 0.263279E+04  0.265440E+01  -.389811E+01  -.129613E+01
     1   9 0.590511E+04  0.316226E+01  -.217089E+01  -.119621E+01
     1  10 0.241165E+04  0.344951E+01  -.242192E+01  -.257345E+01
     1  11 0.169811E+04  0.128970E+01  -.334176E+01  -.242090E+01
     1  12 0.267846E+04  0.351399E+01  -.393949E+01  -.146655E+01
     1  13 0.444503E+04  0.154276E+01  -.223379E+01  -.287918E+01
     1  14 0.239360E+04  0.254644E+01  -.374087E+01  -.910180E+00
     1  15 0.521587E+03  0.529056E+01  -.266916E+01  -.175357E+01
     1  16 0.903285E+04  0.332484E+01  -.168527E+01  -.237157E+01
     1  17 0.113144E+05  0.416950E+01  -.104608E+01  -.295411E+01
     1  18 0.134514E+04  0.285171E+01  -.316068E+01  -.267367E+01
     1  19 0.929558E+03  0.478999E+01  -.289990E+01  -.294738E+01
     1  20 0.107025E+05  0.411415E+01  -.173051E+01  -.694069E+00
     1  21 0.105905E+05  0.518021E+01  -.161665E+01  -.158558E+01
     1  22 0.927236E+04  0.347861E+01  -.189423E+01  -.413896E+00
     1  23 0.136153E+04  0.557640E+01  -.254956E+01  -.159402E+01
     1  24 0.122045E+04  0.452335E+01  -.318191E+01  -.247567E+01
     1  25 0.137360E+04  0.516524E+01  -.312126E+01  -.286399E+01
     1  26 0.124052E+05  0.473766E+01  -.133882E+01  -.132346E+01
     1  27 0.130750E+05  0.277394E+01  -.131313E+01  -.883929E+00
     1  28 0.122015E+05  0.597410E+01  -.151354E+01  -.575563E+00
     1  29 0.614449E+04  0.281029E+01  -.213781E+01  -.138769E+01
     1  30 0.679467E+03  0.487160E+01  -.268497E+01  -.101184E+01
     1  31 0.841418E+03  0.246560E+01  -.264442E+01  -.239305E+01
     1  32 0.118868E+05  0.357087E+01  -.156730E+01  -.507228E+00
     1  33 0.250192E+04  0.204862E+01  -.240288E+01  -.207387E+01
     1  34 0.570922E+04  0.107874E+01  -.218024E+01  -.170997E+01
     1  35 0.261191E+04  0.300249E+01  -.374148E+01  -.221939E+01
     1  36 0.104395E+05  0.387190E+01  -.176438E+01  -.659960E+00
     1  37 0.323244E+04  0.308547E+01  -.234575E+01  -.286811E+01
     1  38 0.112647E+05  0.520580E+01  -.105415E+01  -.268537E+01
     1  39 0.849874E+03  0.478059E+01  -.277405E+01  -.283301E+01
     1  40 0.224963E+04  0.303385E+01  -.371765E+01  -.159908E+01
     1  41 0.665255E+04  0.332281E+01  -.206756E+01  -.163194E+01
     1  42 0.255193E+04  0.403710E+01  -.242793E+01  -.295428E+01
     1  43 0.113126E+05  0.346094E+01  -.151702E+01  -.150006E+01
     1  44 0.126280E+05  0.220913E+01  -.122090E+01  -.147517E+01
     1  45 0.435850E+04  0.582844E+01  -.228610E+01  -.134560E+01
     1  46 0.163593E+04  0.298411E+01  -.348050E+01  -.176639E+01
     1  47 0.112428E+05  0.475023E+01  -.108321E+01  -.298080E+01
     1  48 0.244244E+04  0.505438E+01  -.375501E+01  -.822963E+00
     1  49 0.928457E+04  0.452959E+01  -.181509E+01  -.151807E+01
     1  50 0.973726E+04  0.437182E+01  -.183338E+01  -.934998E+00
     1  51 0.670230E+04  0.259333E+01  -.205447E+01  -.171065E+01
     1  52 0.661668E+04  0.534126E+01  -.199233E+01  -.240746E+01
     1  53 0.674864E+04  0.559098E+01  -.198294E+01  -.229097E+01
     1  54 0.108819E+05  0.194673E+01  -.150427E+01  -.182368E+01
     1  55 0.102729E+05  0.125651E+01  -.175344E+01  -.157475E+01
     1  56 0.371169E+03  0.182134E+01  -.270464E+01  -.183889E+01
     1  57 0.634230E+04  0.382079E+01  -.202890E+01  -.295393E+01
     1  58 0.123590E+04  0.368047E+01  -.336320E+01  -.135154E+01
     1  59 0.306311E+04  0.240394E+01  -.235072E+01  -.256311E+01
     1  60 0.103608E+05  0.282500E+01  -.177771E+01  -.420290E+00
     1  61 0.501012E+04  0.440550E+01  -.225975E+01  -.624172E+00
     1  62 0.256888E+04  0.418002E+01  -.380129E+01  -.641762E+00
     1  63 0.462196E+04  0.357100E+01  -.219802E+01  -.271887E+01
     1  64 0.998937E+04  0.445227E+01  -.149622E+01  -.294340E+01
     1  65 0.706490E+04  0.180389E+01  -.209812E+01  -.898757E+00
     1  66 0.719666E+04  0.573602E+01  -.193004E+01  -.235682E+01
     1  67 0.942146E+03  0.453232E+01  -.259559E+01  -.177121E+01
     1  68 0.273278E+04  0.587364E+01  -.387197E+01  -.408166E+00
     1  69 0.118137E+05  0.513621E+01  -.157661E+01  -.485697E+00
     1  70 0.114121E+05  0.151354E+01  -.123271E+01  -.239087E+01
     1  71 0.432102E+04  0.188712E+01  -.232025E+01  -.530185E+00
     1  72 0.115372E+05  0.251707E+01  -.108286E+01  -.216472E+01
     1  73 0.204028E+04  0.246037E+01  -.360593E+01  -.100396E+01
