     1   1 0.959659E+00  0.997445E+00  0.000000E+00  0.562901E+03
     1   2 0.127652E+01  -.949866E+00  0.329991E+00  0.530949E+04
     1   3 0.933316E+00  0.163433E+01  -.844515E+00  0.101084E+04
     1   4 0.291447E+01  0.846233E+00  -.426290E+00  0.145795E+08
     1   5 0.128381E+01  -.173163E+01  -.532364E+00  0.558818E+04
     1   6 0.634382E+00  -.109037E-01  -.158165E+01  0.122604E+03
     1   7 0.757091E+00  -.679022E+00  -.993053E+00  0.231554E+03
     1   8 0.154849E+01  0.196212E+01  0.881057E+00  0.244152E+05
     1   9 0.297871E+01  0.166048E+01  0.171726E+00  0.250625E+08
     1  10 0.122012E+01  -.131798E+01  -.230997E-01  0.366953E+04
     1  11 -.662426E+00  0.117413E+01  0.242840E+00  0.645570E+03
     1  12 -.495448E+00  0.166756E+01  -.359364E+00  0.624668E+03
     1  13 -.145777E+00  -.140668E+01  -.385188E+00  0.526013E+03
     1  14 -.374278E+00  0.864380E+00  0.439812E+00  0.585361E+03
     1  15 0.173149E+01  0.964753E+00  -.190437E+01  0.106923E+06
     1  16 0.534961E+00  0.123591E+01  -.164094E+01  0.131710E+03
     1  17 -.845636E+00  -.161688E+01  -.396540E+00  0.659950E+03
     1  18 -.322762E+00  0.141934E+01  0.443377E+00  0.579611E+03
     1  19 0.245796E+01  -.145936E+01  0.548690E+00  0.192082E+07
     1  20 -.900487E+00  -.178575E+01  -.759902E+00  0.664217E+03
     1  21 0.271698E+01  -.150862E+01  -.919086E+00  0.608915E+07
     1  22 0.429875E+00  -.179400E+01  0.875236E+00  0.263349E+03
     1  23 0.906919E+00  -.688849E+00  -.844608E+00  0.657986E+03
     1  24 0.142102E-01  -.196938E+01  -.142507E+00  0.450901E+03
     1  25 -.725234E+00  -.290137E+00  -.343049E+00  0.651469E+03
     1  26 -.376686E+00  -.380548E+00  -.133392E+00  0.601740E+03
     1  27 0.918450E+00  -.142691E+01  0.493005E+00  0.411704E+03
     1  28 -.708742E+00  -.160324E+01  -.837267E+00  0.648360E+03
     1  29 0.474275E+00  0.574724E+00  -.599802E+00  0.159982E+03
     1  30 0.279655E+01  -.137000E+01  -.109106E+01  0.876204E+07
     1  31 0.139277E+01  0.158022E+01  -.674384E+00  0.108615E+05
     1  32 -.431668E+00  -.661672E-01  0.765455E-01  0.612225E+03
     1  33 0.293196E+01  0.128091E+01  -.109097E+01  0.185169E+08
     1  34 0.749883E+00  0.137433E+01  0.721703E+00  0.126425E+03
     1  35 0.391197E+00  0.111731E+00  -.134319E+01  0.214453E+03
     1  36 0.144189E+01  0.759840E+00  0.996942E+00  0.137436E+05
     1  37 0.466592E+00  -.613469E-01  -.222552E+00  0.999319E+02
     1  38 0.599554E-01  0.171674E+01  -.139747E+01  0.441340E+03
