     1  0.466592E+00  -.613469E-01  -.222552E+00  0.999319E+02
     2  0.680480E+00  0.687864E+00  -.325592E+00  0.473400E+02
     3  0.656224E+00  0.952999E+00  -.139987E+00  0.235375E+02
    10  0.696031E+00  0.107192E+01  -.182930E+00  0.212957E+02
    15  0.678944E+00  0.130758E+01  -.194021E+00  0.201552E+02
    18  0.661850E+00  -.914722E+00  -.500000E+00  0.132999E+02
    44  0.653340E+00  -.134395E+01  -.590973E+00  0.132486E+02
   282  0.656443E+00  -.120086E+01  -.555134E+00  0.131162E+02
   486  0.657488E+00  -.130130E+01  -.582557E+00  0.131134E+02
   542  0.661505E+00  -.131567E+01  -.588082E+00  0.131043E+02
   546  0.659772E+00  -.131691E+01  -.589149E+00  0.130953E+02
   567  0.659642E+00  -.131775E+01  -.589065E+00  0.130878E+02
   614  0.659669E+00  -.127690E+01  -.577839E+00  0.130857E+02
   824  0.659801E+00  -.127233E+01  -.576855E+00  0.130856E+02
   843  0.659541E+00  -.127135E+01  -.576758E+00  0.130849E+02
   847  0.660071E+00  -.127361E+01  -.576548E+00  0.130811E+02
   953  0.660068E+00  -.127361E+01  -.576529E+00  0.130805E+02
  1009  0.659647E+00  -.127467E+01  -.577113E+00  0.130799E+02
  1144  0.659665E+00  -.127466E+01  -.577112E+00  0.130798E+02
  1342  0.659794E+00  -.127591E+01  -.576983E+00  0.130792E+02
  1440  0.659805E+00  -.127609E+01  -.577131E+00  0.130789E+02
  1466  0.659606E+00  -.127581E+01  -.577156E+00  0.130788E+02
  1551  0.659606E+00  -.127575E+01  -.577156E+00  0.130786E+02
  1737  0.659570E+00  -.127575E+01  -.577232E+00  0.130786E+02
  1770  0.659596E+00  -.127575E+01  -.577239E+00  0.130780E+02
