     1   1 0.372262E+00  0.523907E+00  0.927661E+02
     1   2 -.221187E+01  0.156531E+01  0.258129E+04
     1   3 -.197187E+01  0.857948E+00  0.856766E+03
     1   4 -.255791E+01  0.702346E+00  0.880702E+03
     1   5 0.185989E+01  0.143142E+00  0.102065E+06
     1   6 -.214754E+01  0.792096E+00  0.867383E+03
     1   7 -.999073E+00  0.135676E+01  0.230512E+04
     1   8 -.180828E+01  0.397303E+00  0.842745E+03
     1   9 -.273598E+01  0.169592E+01  0.258182E+04
     1  10 -.246888E+00  0.118574E+01  0.233848E+04
     1  11 -.231068E+01  0.903655E+00  0.874078E+03
     1  12 0.152642E+00  -.452195E+00  0.909993E+02
     1  13 0.905955E+00  0.225924E+00  0.145862E+04
     1  14 -.224651E+01  0.115249E+01  0.871799E+03
     1  15 -.222274E+01  0.630341E+00  0.870820E+03
     1  16 -.400257E+00  0.112113E+00  0.331913E+03
     1  17 -.782880E+00  -.267724E+00  0.542510E+03
     1  18 0.774449E+00  0.112979E+01  0.258967E+04
     1  19 -.203070E+01  0.178520E+01  0.258092E+04
     1  20 -.232502E+01  -.180665E+00  0.874614E+03
     1  21 -.195779E+01  0.964229E+00  0.855909E+03
     1  22 0.207259E+01  0.791386E+00  0.281781E+06
     1  23 -.191774E+00  0.191192E+00  0.226125E+03
     1  24 0.830814E+00  -.243214E+00  0.985852E+03
     1  25 -.438741E+00  0.123474E+00  0.353018E+03
     1  26 -.189837E+00  0.159249E+01  0.251249E+04
     1  27 -.189402E+01  0.232102E+00  0.850709E+03
     1  28 -.771786E+00  0.764436E+00  0.536774E+03
     1  29 0.147063E+01  -.318384E+00  0.205281E+05
     1  30 0.970947E+00  0.732823E+00  0.311219E+04
     1  31 -.334232E+00  -.685778E-01  0.297073E+03
     1  32 -.198073E+01  0.881469E+00  0.857405E+03
     1  33 -.104967E+01  0.750922E+00  0.667235E+03
     1  34 -.468749E+00  -.200986E+00  0.369461E+03
     1  35 -.253627E+01  0.169014E+00  0.880158E+03
     1  36 -.117576E+01  0.184308E+01  0.257407E+04
     1  37 -.786808E+00  0.128492E+01  0.180781E+04
     1  38 0.108385E+01  0.937881E+00  0.408150E+04
     1  39 0.993728E+00  0.182958E+01  0.338979E+04
     1  40 -.886513E+00  0.150949E+01  0.256657E+04
     1  41 0.185685E+01  0.183644E+01  0.102155E+06
     1  42 -.382474E+00  0.861403E-01  0.322473E+03
     1  43 0.189742E+01  0.395218E+00  0.118777E+06
     1  44 -.798595E+00  -.365719E+00  0.550696E+03
     1  45 0.188733E+01  0.166170E+01  0.116018E+06
     1  46 -.629753E-01  0.178874E+01  0.249299E+04
     1  47 0.107048E+01  -.226555E+00  0.379626E+04
     1  48 -.102638E+01  0.165470E+01  0.257085E+04
     1  49 0.924058E+00  0.105828E+01  0.301814E+04
     1  50 0.154561E+01  0.943485E+00  0.219851E+05
     2   1 -.196217E+01  -.383623E+00  0.856177E+03
     2   2 -.290000E+01  0.153772E+01  0.258170E+04
     2   3 0.578132E+00  -.322307E+00  0.170971E+03
     2   4 -.791230E-02  -.500000E+00  0.146646E+03
     2   5 0.220000E+01  -.500000E+00  0.523153E+06
     2   6 -.116848E+01  -.215450E+00  0.711574E+03
     2   7 -.259707E+01  0.106758E+00  0.881323E+03
     2   8 0.741717E+00  -.500000E+00  0.548243E+03
     2   9 -.228305E+01  0.161799E+01  0.258141E+04
     2  10 -.129378E+00  0.594668E+00  0.197758E+03
     2  11 0.239319E+00  -.346345E+00  0.695298E+02
     2  12 0.220000E+01  -.500000E+00  0.520554E+06
     2  13 0.220000E+01  -.500000E+00  0.523153E+06
     2  14 -.126195E+01  0.177566E+01  0.257550E+04
     2  15 -.542999E+00  -.500000E+00  0.410788E+03
     2  16 0.171477E+01  0.313903E+00  0.509006E+05
     2  17 -.467183E+00  0.579345E+00  0.368644E+03
     2  18 -.788642E+00  -.120207E+00  0.545532E+03
     2  19 0.519296E+00  0.128534E+01  0.240416E+04
     2  20 -.290000E+01  0.327751E+00  0.885215E+03
     2  21 0.592215E+00  0.734471E+00  0.214128E+04
     2  22 -.477414E+00  0.920391E+00  0.374465E+03
     2  23 -.169196E+01  0.805137E+00  0.829145E+03
     2  24 0.164298E+01  -.500000E+00  0.466444E+05
     2  25 0.570784E+00  -.500000E+00  0.162609E+03
     2  26 -.403408E+00  0.342489E+00  0.333594E+03
     2  27 -.303548E+00  -.259495E+00  0.281245E+03
     2  28 -.520866E+00  0.126638E+00  0.398387E+03
     2  29 0.255538E+00  0.874620E-01  0.665010E+02
     2  30 -.154960E+01  -.868269E-01  0.807576E+03
     2  31 0.147737E+01  -.500000E+00  0.270002E+05
     2  32 0.569273E+00  0.149398E+01  0.241722E+04
     2  33 -.220910E+01  -.173581E+00  0.870238E+03
     2  34 0.459655E+00  -.306794E+00  0.790939E+02
     2  35 -.155578E+01  -.499993E-01  0.808636E+03
     2  36 0.710480E-01  0.593076E+00  0.112721E+03
     2  37 -.144710E+01  0.662215E+00  0.787773E+03
     2  38 0.142796E+01  -.312119E+00  0.166999E+05
     2  39 0.184392E+01  0.579583E+00  0.933281E+05
     2  40 -.714559E+00  0.175989E+01  0.255901E+04
     2  41 -.693152E+00  0.194544E+01  0.255839E+04
     2  42 -.163568E+01  -.256909E+00  0.821378E+03
     2  43 -.652577E+00  -.500000E+00  0.471996E+03
     2  44 0.103639E+01  0.191093E+00  0.320694E+04
     2  45 0.286380E+00  0.200000E+01  0.242567E+04
     2  46 -.167698E+01  0.601738E+00  0.827153E+03
     2  47 -.705873E+00  0.417388E+00  0.501454E+03
     2  48 0.139198E+01  0.130625E+01  0.120384E+05
     2  49 -.200781E-01  0.160438E+01  0.248537E+04
     2  50 -.175703E+00  -.306515E+00  0.218663E+03
     3   1 -.222677E+01  -.500000E+00  0.870980E+03
     3   2 -.350000E+00  0.287716E+00  0.305262E+03
     3   3 0.220000E+01  -.500000E+00  0.542783E+06
     3   4 0.220000E+01  0.576939E+00  0.118551E+07
     3   5 0.929354E+00  0.309347E+00  0.256502E+04
     3   6 0.720098E+00  -.500000E+00  0.472997E+03
     3   7 -.363186E+00  -.500000E+00  0.312093E+03
     3   8 0.220000E+01  0.750000E+00  0.527532E+06
     3   9 -.183192E+00  0.132220E+01  0.250177E+04
     3  10 0.529579E+00  -.500000E+00  0.121598E+03
     3  11 0.220000E+01  -.500000E+00  0.542784E+06
     3  12 -.209703E+00  0.478420E+00  0.234536E+03
     3  13 -.350000E+00  0.750000E+00  0.305238E+03
     3  14 0.395694E+00  0.525659E+00  0.369077E+02
     3  15 0.200700E+01  0.645590E+00  0.795022E+05
     3  16 -.458332E+00  0.865041E-01  0.363599E+03
     3  17 0.512486E+00  0.118192E+01  0.240115E+04
     3  18 -.166857E+01  -.500000E+00  0.826044E+03
     3  19 0.220000E+01  0.353404E-01  0.485452E+06
     3  20 -.350000E+00  0.369659E+00  0.305131E+03
     3  21 0.220000E+01  0.650677E+00  0.511350E+06
     3  22 -.184383E+01  0.628835E+00  0.846177E+03
     3  23 -.226823E+01  0.116229E+01  0.872672E+03
     3  24 0.133335E+01  0.413930E+00  0.969222E+04
     3  25 0.107832E+01  0.190995E+00  0.373707E+04
     3  26 -.224531E+00  -.500000E+00  0.241820E+03
     3  27 0.184127E+01  -.418070E+00  0.934983E+05
     3  28 0.977104E-01  -.500000E+00  0.108283E+03
     3  29 -.898754E+00  0.472999E+00  0.600704E+03
     3  30 -.221665E+01  -.500000E+00  0.870598E+03
     3  31 0.220000E+01  0.750000E+00  0.519191E+06
     3  32 0.220000E+01  0.656386E+00  0.506129E+06
     3  33 0.340900E+00  0.512122E+00  0.512869E+02
     3  34 0.105850E+01  0.176058E+00  0.345321E+04
     3  35 0.324961E-01  -.776712E-01  0.131154E+03
     3  36 0.150414E+01  -.500000E+00  0.356259E+05
     3  37 -.153860E+00  -.500000E+00  0.208642E+03
     3  38 0.239372E+00  0.671587E+00  0.247928E+03
     3  39 0.127224E+01  -.177310E+00  0.830450E+04
     3  40 -.410465E+00  0.509888E+00  0.337469E+03
     3  41 -.223084E+01  0.122889E+01  0.871925E+03
     3  42 0.654491E+00  -.154609E+00  0.297785E+03
     3  43 -.182021E+01  0.298525E+00  0.843895E+03
     3  44 0.235695E+00  0.111095E+00  0.702911E+02
     3  45 -.125942E+01  0.118326E+01  0.741357E+03
     3  46 -.249425E+01  -.500000E+00  0.879253E+03
     3  47 -.102955E+01  0.757646E+00  0.659003E+03
     3  48 0.220000E+01  0.689719E+00  0.512402E+06
     3  49 -.727846E+00  0.354384E+00  0.513078E+03
     3  50 -.167980E+01  -.500000E+00  0.827588E+03
     4   1 0.323235E+00  0.365648E+00  0.534315E+02
     4   2 0.220000E+01  -.500000E+00  0.542782E+06
     4   3 0.460444E-01  0.750000E+00  0.159430E+03
     4   4 -.350000E+00  0.362453E+00  0.305258E+03
     4   5 -.971376E+00  0.123023E+01  0.708078E+03
     4   6 0.220000E+01  0.750000E+00  0.527533E+06
     4   7 0.218681E+01  0.639016E+00  0.272142E+07
     4   8 0.871652E+00  0.139364E+01  0.282193E+04
     4   9 0.220000E+01  0.839754E+00  0.525862E+06
     4  10 0.110630E+01  0.750000E+00  0.439500E+04
     4  11 -.350000E+00  0.581373E+00  0.305387E+03
     4  12 -.207756E+01  0.229296E+00  0.863652E+03
     4  13 -.241227E+01  0.178674E+01  0.258158E+04
     4  14 0.197032E+01  -.500000E+00  0.171251E+06
     4  15 0.101101E+01  0.152993E+00  0.304249E+05
     4  16 -.146988E+01  0.225655E+00  0.792616E+03
     4  17 0.658753E+00  0.998025E+00  0.243425E+04
     4  18 0.294616E+00  0.284842E+00  0.607879E+02
     4  19 -.350000E+00  0.214680E-01  0.305319E+03
     4  20 0.218459E+01  0.561289E+00  0.499416E+06
     4  21 -.350000E+00  0.885845E+00  0.305365E+03
     4  22 0.706174E+00  0.237314E+00  0.335682E+03
     4  23 0.281774E+00  0.707811E+00  0.687495E+03
     4  24 0.286032E+00  0.102302E+01  0.239208E+04
     4  25 0.639372E+00  0.101063E+01  0.242345E+04
     4  26 0.203099E+00  0.750000E+00  0.536525E+03
     4  27 0.220000E+01  0.670842E+00  0.471561E+06
     4  28 0.776566E+00  0.750000E+00  0.258408E+04
     4  29 0.112491E+00  0.866655E+00  0.112751E+04
     4  30 -.325734E+00  0.750000E+00  0.291956E+03
     4  31 -.350000E+00  0.154962E+01  0.253218E+04
     4  32 0.339764E+00  0.185724E+00  0.580709E+02
     4  33 0.220000E+01  0.116532E+01  0.456035E+06
     4  34 0.670326E+00  0.366356E+00  0.493547E+03
     4  35 0.184085E+01  0.582665E+00  0.934787E+05
     4  36 0.560659E+00  0.448815E+00  0.421090E+03
     4  37 0.184350E+01  0.248391E+00  0.969209E+05
     4  38 -.759147E+00  0.153766E+01  0.256139E+04
     4  39 -.838444E+00  0.107269E+01  0.571516E+03
     4  40 0.493317E+00  -.500000E+00  0.958882E+02
     4  41 -.103150E+00  0.281864E+00  0.186118E+03
     4  42 0.220000E+01  0.667817E+00  0.470973E+06
     4  43 -.882386E+00  0.365077E+00  0.592794E+03
     4  44 -.452975E+00  0.695573E-01  0.360619E+03
     4  45 -.100439E+01  0.194335E+00  0.648520E+03
     4  46 0.557489E-01  0.750000E+00  0.165226E+03
     4  47 -.587349E+00  0.662490E+00  0.435581E+03
     4  48 -.350000E+00  0.719604E-01  0.305327E+03
     4  49 -.464858E-01  -.500000E+00  0.162134E+03
     4  50 -.149234E+01  0.480646E+00  0.797062E+03
     5   1 0.220000E+01  0.125381E+01  0.480689E+06
     5   2 -.350000E+00  0.750000E+00  0.305238E+03
     5   3 -.196147E+01  0.164906E+01  0.258073E+04
     5   4 -.125684E+01  -.500000E+00  0.739636E+03
     5   5 -.224902E+01  0.110900E+01  0.871888E+03
     5   6 -.350000E+00  0.130580E+00  0.305324E+03
     5   7 -.363186E+00  0.511863E+00  0.312253E+03
     5   8 -.667547E+00  0.143635E+00  0.480226E+03
     5   9 -.350000E+00  0.269696E+00  0.305148E+03
     5  10 0.113550E+01  0.167180E+01  0.480859E+04
     5  11 -.258686E+01  0.120538E+01  0.881438E+03
     5  12 -.197822E+01  -.157361E+00  0.857357E+03
     5  13 -.688650E+00  0.167961E+01  0.255815E+04
     5  14 0.220000E+01  0.585165E+00  0.223046E+08
     5  15 -.153899E+01  -.459295E+00  0.805754E+03
     5  16 0.863711E+00  0.498776E+00  0.270667E+04
     5  17 0.328196E+00  0.272036E+00  0.560877E+02
     5  18 0.220000E+01  0.121110E+01  0.466386E+06
     5  19 -.251603E+01  0.252450E+00  0.879712E+03
     5  20 0.156321E+01  0.713240E+00  0.208647E+05
     5  21 -.276077E+01  0.765452E+00  0.883879E+03
     5  22 0.220000E+01  0.186860E+00  0.520426E+06
     5  23 0.219597E+01  -.272198E+00  0.500349E+06
     5  24 -.648739E+00  -.181970E+00  0.469913E+03
     5  25 0.123893E+00  -.239372E+00  0.997892E+02
     5  26 0.366350E+00  0.167086E+01  0.241268E+04
     5  27 -.350000E+00  0.161551E+01  0.253218E+04
     5  28 0.583247E+00  -.412920E-01  0.177934E+03
     5  29 0.129976E+01  -.256038E+00  0.989894E+04
     5  30 0.174428E+01  0.183253E+01  0.584627E+05
     5  31 -.227611E+01  0.299620E+00  0.872870E+03
     5  32 -.134383E+01  0.247818E+00  0.763710E+03
     5  33 -.350000E+00  0.121266E+01  0.229608E+04
     5  34 0.115996E+00  0.379266E+00  0.102269E+03
     5  35 0.151686E+01  0.958342E+00  0.207438E+05
     5  36 -.615936E+00  0.155864E+01  0.255398E+04
     5  37 0.389606E+00  0.169302E+00  0.607403E+02
     5  38 -.898888E+00  0.200000E+01  0.256698E+04
     5  39 -.106351E+01  0.145574E+01  0.256523E+04
