 0.384341E+00 0.547518E+00 0.167734E+02
 0.361437E+00 0.484018E+00 0.163782E+02
 0.377088E+00 0.504180E+00 0.165097E+02
 0.374645E+00 0.512593E+00 0.181969E+02
 0.380407E+00 0.510998E+00 0.156104E+02
 0.374226E+00 0.527220E+00 0.156387E+02
 0.383484E+00 0.548475E+00 0.167860E+02
 0.374683E+00 0.518519E+00 0.146618E+02
 0.380048E+00 0.527339E+00 0.152204E+02
 0.373527E+00 0.527564E+00 0.162572E+02
 0.375426E+00 0.513163E+00 0.157217E+02
 0.373706E+00 0.522654E+00 0.146517E+02
 0.375232E+00 0.511010E+00 0.178967E+02
 0.376213E+00 0.508074E+00 0.172271E+02
 0.375174E+00 0.511221E+00 0.177106E+02
 0.375864E+00 0.513057E+00 0.152883E+02
 0.381024E+00 0.497776E+00 0.170469E+02
 0.378518E+00 0.502015E+00 0.162387E+02
 0.374929E+00 0.511747E+00 0.179576E+02
 0.377600E+00 0.503948E+00 0.164716E+02
 0.374984E+00 0.532151E+00 0.181326E+02
 0.380472E+00 0.503541E+00 0.172727E+02
 0.384803E+00 0.545929E+00 0.170577E+02
 0.373610E+00 0.511233E+00 0.177379E+02
 0.379730E+00 0.499609E+00 0.160642E+02
 0.373891E+00 0.512923E+00 0.181133E+02
 0.379704E+00 0.485189E+00 0.179246E+02
 0.382771E+00 0.548538E+00 0.166677E+02
 0.373283E+00 0.519971E+00 0.147242E+02
 0.373943E+00 0.523059E+00 0.149032E+02
 0.371770E+00 0.468385E+00 0.179296E+02
 0.353961E+00 0.492644E+00 0.153409E+02
 0.374399E+00 0.512590E+00 0.180552E+02
 0.374223E+00 0.526471E+00 0.153639E+02
 0.372461E+00 0.523690E+00 0.141708E+02
 0.381118E+00 0.501703E+00 0.162269E+02
 0.381520E+00 0.506963E+00 0.152615E+02
 0.380212E+00 0.524315E+00 0.152721E+02
 0.372656E+00 0.525863E+00 0.147195E+02
 0.379844E+00 0.527052E+00 0.150793E+02
 0.372706E+00 0.521786E+00 0.142349E+02
 0.379756E+00 0.509924E+00 0.151627E+02
 0.372226E+00 0.521859E+00 0.140361E+02
 0.404156E+00 0.519561E+00 0.182763E+02
 0.353181E+00 0.492755E+00 0.154124E+02
 0.376328E+00 0.513777E+00 0.162880E+02
 0.379391E+00 0.504066E+00 0.175267E+02
 0.373888E+00 0.519154E+00 0.145356E+02
 0.372346E+00 0.523762E+00 0.140770E+02
 0.372129E+00 0.523950E+00 0.140210E+02
 0.372168E+00 0.522087E+00 0.139762E+02
 0.377544E+00 0.501986E+00 0.162353E+02
 0.372071E+00 0.524624E+00 0.141357E+02
 0.379541E+00 0.512678E+00 0.156035E+02
 0.399901E+00 0.519195E+00 0.173806E+02
 0.373774E+00 0.523254E+00 0.148298E+02
 0.374553E+00 0.518447E+00 0.145240E+02
 0.359739E+00 0.504214E+00 0.158515E+02
 0.373703E+00 0.520916E+00 0.143958E+02
