 0.573685E+00 0.000000E+00 -.340554E+00 0.289814E+02
 0.632231E+00 0.193601E+01 -.127092E+00 0.288944E+02
 0.574485E+00 0.200000E+01 -.888847E-01 0.310776E+02
 0.645203E+00 0.200000E+01 -.133555E+00 0.309615E+02
 0.628185E+00 0.157851E+01 -.173066E+00 0.270346E+02
 0.643471E+00 0.135823E+01 -.211930E+00 0.285751E+02
 0.637628E+00 0.812999E+00 -.265381E+00 0.262378E+02
 0.570646E+00 0.151279E+01 -.123541E+00 0.297911E+02
 0.640046E+00 0.898951E+00 -.271924E+00 0.265325E+02
 0.663338E+00 0.405563E+00 -.343770E+00 0.314049E+02
 0.634404E+00 0.452551E+00 -.354938E+00 0.303441E+02
 0.630466E+00 0.565721E+00 -.289594E+00 0.269467E+02
 0.620466E+00 0.720328E+00 -.278146E+00 0.232438E+02
 0.624488E+00 0.130178E+01 -.180632E+00 0.306750E+02
 0.626203E+00 0.692293E+00 -.287858E+00 0.235351E+02
 0.591469E+00 0.879462E+00 -.251315E+00 0.292889E+02
 0.650907E+00 0.674894E+00 -.294254E+00 0.284453E+02
 0.621409E+00 0.362460E+00 -.307124E+00 0.299920E+02
 0.596520E+00 -.748897E+00 -.577089E+00 0.250146E+02
 0.625597E+00 0.484678E+00 -.336689E+00 0.271729E+02
 0.633919E+00 0.616393E+00 -.312274E+00 0.253262E+02
 0.590593E+00 0.110627E+01 -.202555E+00 0.254923E+02
 0.608560E+00 0.954715E+00 -.244018E+00 0.254259E+02
 0.609388E+00 0.162441E+00 -.382653E+00 0.262293E+02
 0.607598E+00 0.454827E+00 -.301423E+00 0.224271E+02
 0.646812E+00 0.155427E+01 -.189294E+00 0.297793E+02
 0.615507E+00 0.553028E+00 -.294328E+00 0.224549E+02
 0.630391E+00 0.135784E+01 -.180349E+00 0.302634E+02
 0.609201E+00 -.405127E-01 -.437528E+00 0.316199E+02
 0.568447E+00 0.293051E+00 -.322411E+00 0.289695E+02
 0.628160E+00 0.261954E+00 -.371586E+00 0.248680E+02
 0.626298E+00 -.800195E+00 -.588945E+00 0.227347E+02
 0.621608E+00 -.457983E-02 -.417787E+00 0.240191E+02
 0.588104E+00 0.000000E+00 -.344282E+00 0.307910E+02
 0.591125E+00 0.952248E+00 -.213985E+00 0.249805E+02
 0.614073E+00 -.187771E-01 -.435597E+00 0.313201E+02
 0.604539E+00 0.718131E+00 -.287363E+00 0.287642E+02
 0.602367E+00 0.101708E+01 -.206195E+00 0.262448E+02
 0.585108E+00 0.106793E+01 -.219893E+00 0.305115E+02
 0.573108E+00 0.620105E+00 -.263594E+00 0.270259E+02
 0.605649E+00 0.673371E+00 -.273939E+00 0.229646E+02
 0.610913E+00 0.576795E+00 -.306219E+00 0.253530E+02
 0.606387E+00 0.122716E+01 -.186867E+00 0.253106E+02
 0.622244E+00 0.187456E+01 -.130973E+00 0.274473E+02
 0.603932E+00 -.525774E+00 -.549785E+00 0.314857E+02
 0.608052E+00 0.115141E+01 -.209139E+00 0.246938E+02
 0.605086E+00 0.200000E+01 -.118956E+00 0.307135E+02
 0.607039E+00 -.409292E+00 -.453258E+00 0.249011E+02
 0.616592E+00 0.473085E-01 -.354763E+00 0.313687E+02
 0.598263E+00 0.306484E+00 -.348957E+00 0.273154E+02
