160.d0
170.d0
16

75	 0.1571	 0.0925
90	 0.3015	 0.1351
105  0.4735	 0.1898
120  0.7707	 0.2430
135  0.9019	 0.2635
150  1.0505	 0.2907
165  1.2782	 0.2951
180  1.4052	 0.3285
195  1.4966	 0.3463
210  1.6869	 0.4344
225  1.7895	 0.4709
240  1.9608	 0.5402
255  2.0053	 0.5569
270  2.1394	 0.6004
285  2.2539	 0.7172
