    1    30.00  0.129800E+00  0.730778E+00  0.451534E+00  0.101002E+01
    1    45.00  0.585100E+00  0.106037E+01  0.810900E+00  0.130984E+01
    1    60.00  0.111570E+01  0.136398E+01  0.975930E+00  0.175203E+01
    1    75.00  0.162630E+01  0.164364E+01  0.143689E+01  0.185040E+01
    1    90.00  0.202770E+01  0.190129E+01  0.170334E+01  0.209925E+01
    1   105.00  0.237780E+01  0.213879E+01  0.193964E+01  0.233794E+01
    1   120.00  0.253510E+01  0.235787E+01  0.215358E+01  0.256216E+01
    1   135.00  0.272650E+01  0.256020E+01  0.235145E+01  0.276894E+01
    1   150.00  0.286460E+01  0.274730E+01  0.253729E+01  0.295731E+01
    1   165.00  0.303110E+01  0.292062E+01  0.271326E+01  0.312797E+01
    1   180.00  0.313740E+01  0.308148E+01  0.291783E+01  0.324512E+01
    1   195.00  0.325730E+01  0.323110E+01  0.301112E+01  0.345108E+01
    1   210.00  0.337080E+01  0.337062E+01  0.315831E+01  0.358292E+01
    1   225.00  0.341840E+01  0.350106E+01  0.328012E+01  0.372199E+01
    1   240.00  0.353540E+01  0.362335E+01  0.338689E+01  0.385982E+01
    1   270.00  0.375060E+01  0.384695E+01  0.355007E+01  0.414382E+01
    1   300.00  0.401060E+01  0.404722E+01  0.374380E+01  0.435065E+01
    1    30.00  0.128000E-01  0.277524E+00  0.241409E+00  0.313640E+00
    1    45.00  0.505000E-01  0.416338E+00  0.372644E+00  0.460031E+00
    1    60.00  0.154800E+00  0.555567E+00  0.499264E+00  0.611870E+00
    1    75.00  0.339300E+00  0.695098E+00  0.629912E+00  0.760284E+00
    1    90.00  0.559000E+00  0.834820E+00  0.757782E+00  0.911858E+00
    1   105.00  0.792600E+00  0.974629E+00  0.885563E+00  0.106370E+01
    1   120.00  0.936000E+00  0.111443E+01  0.101332E+01  0.121554E+01
    1   135.00  0.109060E+01  0.125413E+01  0.114104E+01  0.136722E+01
    1   150.00  0.125070E+01  0.139364E+01  0.126865E+01  0.151863E+01
    1   165.00  0.144660E+01  0.153289E+01  0.139608E+01  0.166970E+01
    1   180.00  0.163570E+01  0.167180E+01  0.152336E+01  0.182024E+01
    1   195.00  0.184880E+01  0.181031E+01  0.164994E+01  0.197068E+01
    1   210.00  0.204760E+01  0.194835E+01  0.177646E+01  0.212025E+01
    1   225.00  0.232920E+01  0.208588E+01  0.190253E+01  0.226923E+01
    1   240.00  0.245770E+01  0.222283E+01  0.202815E+01  0.241751E+01
    1   270.00  0.264960E+01  0.249483E+01  0.227784E+01  0.271183E+01
    1   300.00  0.286700E+01  0.276405E+01  0.252570E+01  0.300241E+01
