175.d0
170.d0
18

30		0.1298	0.0128
45		0.5851	0.0505
60		1.1157	0.1548
75		1.6263	0.3393
90		2.0277	0.5590
105		2.3778	0.7926
120		2.5351	0.9360
135		2.7265	1.0906
150		2.8646	1.2507
165		3.0311	1.4466
180		3.1374	1.6357
195		3.2573	1.8488
210		3.3708	2.0476
225		3.4184	2.3292
240		3.5354	2.4577
270		3.7506	2.6496
300		4.0106	2.8670
