    1    30.00  0.129800E+00  0.492555E+00  0.261030E+00  0.724080E+00
    1    45.00  0.585100E+00  0.869493E+00  0.585820E+00  0.115317E+01
    1    60.00  0.111570E+01  0.124641E+01  0.969497E+00  0.152332E+01
    1    75.00  0.162630E+01  0.159891E+01  0.135377E+01  0.184404E+01
    1    90.00  0.202770E+01  0.191728E+01  0.169806E+01  0.213649E+01
    1   105.00  0.237780E+01  0.219953E+01  0.198781E+01  0.241124E+01
    1   120.00  0.253510E+01  0.244738E+01  0.223194E+01  0.266283E+01
    1   135.00  0.272650E+01  0.266413E+01  0.244559E+01  0.288266E+01
    1   150.00  0.286460E+01  0.285353E+01  0.263624E+01  0.307082E+01
    1   165.00  0.303110E+01  0.301932E+01  0.281176E+01  0.322688E+01
    1   180.00  0.313740E+01  0.316492E+01  0.296994E+01  0.335991E+01
    1   195.00  0.325730E+01  0.329340E+01  0.310844E+01  0.347837E+01
    1   210.00  0.337080E+01  0.340742E+01  0.322370E+01  0.359113E+01
    1   225.00  0.341840E+01  0.350927E+01  0.331447E+01  0.370408E+01
    1   240.00  0.353540E+01  0.360091E+01  0.338232E+01  0.381951E+01
    1   270.00  0.375060E+01  0.376005E+01  0.346939E+01  0.405071E+01
    1   300.00  0.401060E+01  0.389518E+01  0.351840E+01  0.427196E+01
    1    30.00  0.128000E-01  0.326364E+00  0.277014E+00  0.375713E+00
    1    45.00  0.505000E-01  0.465962E+00  0.397294E+00  0.534630E+00
    1    60.00  0.154800E+00  0.601634E+00  0.520895E+00  0.682372E+00
    1    75.00  0.339300E+00  0.735860E+00  0.646922E+00  0.824799E+00
    1    90.00  0.559000E+00  0.869640E+00  0.773866E+00  0.965414E+00
    1   105.00  0.792600E+00  0.100334E+01  0.900663E+00  0.110601E+01
    1   120.00  0.936000E+00  0.113704E+01  0.102674E+01  0.124734E+01
    1   135.00  0.109060E+01  0.127072E+01  0.115189E+01  0.138956E+01
    1   150.00  0.125070E+01  0.140431E+01  0.127614E+01  0.153247E+01
    1   165.00  0.144660E+01  0.153769E+01  0.139949E+01  0.167590E+01
    1   180.00  0.163570E+01  0.167080E+01  0.152195E+01  0.181964E+01
    1   195.00  0.184880E+01  0.180352E+01  0.164359E+01  0.196346E+01
    1   210.00  0.204760E+01  0.193580E+01  0.176443E+01  0.210718E+01
    1   225.00  0.232920E+01  0.206756E+01  0.188459E+01  0.225054E+01
    1   240.00  0.245770E+01  0.219875E+01  0.200402E+01  0.239348E+01
    1   270.00  0.264960E+01  0.245921E+01  0.224065E+01  0.267777E+01
    1   300.00  0.286700E+01  0.271686E+01  0.247435E+01  0.295937E+01
