 -.523498E+01 -.296953E+01 -.748350E+01 -.106871E+01 0.183702E+03
 -.534792E+01 -.298583E+01 -.776026E+01 -.108902E+01 0.196989E+03
 -.588952E+01 -.293954E+01 -.840143E+01 -.110763E+01 0.230969E+03
 -.391442E+01 -.297038E+01 -.864059E+01 -.113053E+01 0.231103E+03
 -.512547E+01 -.293665E+01 -.727750E+01 -.108667E+01 0.221300E+03
 -.540542E+01 -.300228E+01 -.820110E+01 -.104505E+01 0.222639E+03
 -.520941E+01 -.296060E+01 -.649184E+01 -.110726E+01 0.205442E+03
 -.508940E+01 -.300724E+01 -.630689E+01 -.107702E+01 0.224671E+03
 -.700000E+01 -.295594E+01 -.803575E+01 -.113401E+01 0.241668E+03
 -.350000E+01 -.301644E+01 -.794531E+01 -.105072E+01 0.250100E+03
 -.507929E+01 -.295085E+01 -.580000E+01 -.106490E+01 0.194439E+03
 -.552275E+01 -.292680E+01 -.819795E+01 -.104909E+01 0.246351E+03
 -.620188E+01 -.300150E+01 -.819439E+01 -.102060E+01 0.249913E+03
 -.542203E+01 -.293578E+01 -.760709E+01 -.107311E+01 0.219016E+03
 -.547461E+01 -.293818E+01 -.816926E+01 -.110872E+01 0.234648E+03
 -.571278E+01 -.297644E+01 -.696475E+01 -.107056E+01 0.185154E+03
 -.478816E+01 -.298011E+01 -.746195E+01 -.101235E+01 0.239026E+03
 -.602965E+01 -.299753E+01 -.810827E+01 -.111977E+01 0.239133E+03
 -.502040E+01 -.295604E+01 -.740000E+01 -.110930E+01 0.210517E+03
 -.497269E+01 -.299369E+01 -.669671E+01 -.112492E+01 0.240092E+03
 -.402451E+01 -.293298E+01 -.665635E+01 -.107012E+01 0.224885E+03
 -.539112E+01 -.298661E+01 -.740000E+01 -.109012E+01 0.198343E+03
 -.601319E+01 -.300480E+01 -.856114E+01 -.110809E+01 0.238996E+03
 -.536619E+01 -.300140E+01 -.714244E+01 -.103551E+01 0.229671E+03
 -.518059E+01 -.294328E+01 -.608407E+01 -.112303E+01 0.241855E+03
 -.513298E+01 -.297016E+01 -.773621E+01 -.112826E+01 0.227877E+03
 -.526428E+01 -.297882E+01 -.784218E+01 -.105861E+01 0.187763E+03
 -.515422E+01 -.299896E+01 -.625625E+01 -.107504E+01 0.208909E+03
 -.529024E+01 -.301465E+01 -.720323E+01 -.107973E+01 0.242082E+03
 -.626831E+01 -.299618E+01 -.742401E+01 -.110096E+01 0.217735E+03
 -.524078E+01 -.298839E+01 -.839847E+01 -.105369E+01 0.197378E+03
