    1    45.00  0.552472E+00  0.932680E+00  0.895572E+00  0.969787E+00
    1    60.00  0.137699E+01  0.124385E+01  0.119440E+01  0.129331E+01
    1    75.00  0.189144E+01  0.155503E+01  0.149373E+01  0.161633E+01
    1    90.00  0.242868E+01  0.186620E+01  0.179252E+01  0.193989E+01
    1   105.00  0.290160E+01  0.217738E+01  0.209115E+01  0.226361E+01
    1   120.00  0.317668E+01  0.248855E+01  0.238988E+01  0.258723E+01
    1   135.00  0.350404E+01  0.279973E+01  0.268859E+01  0.291086E+01
    1   150.00  0.379211E+01  0.311090E+01  0.298740E+01  0.323440E+01
    1   165.00  0.397345E+01  0.342208E+01  0.328642E+01  0.355774E+01
    1   180.00  0.416465E+01  0.373325E+01  0.358538E+01  0.388112E+01
    1   195.00  0.420222E+01  0.404443E+01  0.388449E+01  0.420436E+01
    1   210.00  0.435264E+01  0.435560E+01  0.418370E+01  0.452750E+01
    1   225.00  0.448447E+01  0.466677E+01  0.448276E+01  0.485079E+01
    1   240.00  0.467497E+01  0.497795E+01  0.478172E+01  0.517418E+01
    1   270.00  0.498994E+01  0.560030E+01  0.537895E+01  0.582165E+01
    1   300.00  0.507147E+01  0.622265E+01  0.597446E+01  0.647084E+01
    1    45.00  0.347828E+00  0.178688E+01  0.143881E+01  0.213495E+01
    1    60.00  0.107881E+01  0.237230E+01  0.209980E+01  0.264480E+01
    1    75.00  0.183806E+01  0.295214E+01  0.272005E+01  0.318423E+01
    1    90.00  0.267512E+01  0.352620E+01  0.332249E+01  0.372991E+01
    1   105.00  0.330740E+01  0.409431E+01  0.390544E+01  0.428318E+01
    1   120.00  0.427032E+01  0.465629E+01  0.447136E+01  0.484123E+01
    1   135.00  0.502706E+01  0.521197E+01  0.502336E+01  0.540057E+01
    1   150.00  0.582749E+01  0.576114E+01  0.556583E+01  0.595645E+01
    1   165.00  0.675095E+01  0.630362E+01  0.610178E+01  0.650546E+01
    1   180.00  0.747355E+01  0.683920E+01  0.663421E+01  0.704419E+01
    1   195.00  0.822298E+01  0.736770E+01  0.716076E+01  0.757464E+01
    1   210.00  0.873586E+01  0.788889E+01  0.767978E+01  0.809800E+01
    1   225.00  0.902333E+01  0.840258E+01  0.819117E+01  0.861398E+01
    1   240.00  0.926553E+01  0.890853E+01  0.868891E+01  0.912815E+01
    1   270.00  0.964376E+01  0.989637E+01  0.960705E+01  0.101857E+02
    1   300.00  0.101073E+02  0.108506E+02  0.103858E+02  0.113154E+02
