     1  -.272559E+01  -.169865E+01  -.155358E+01  0.275720E+02
    96  -.272541E+01  -.169836E+01  -.155480E+01  0.275712E+02
   131  -.272628E+01  -.169680E+01  -.155461E+01  0.275711E+02
   156  -.272528E+01  -.169671E+01  -.155484E+01  0.275710E+02
   159  -.272538E+01  -.169689E+01  -.155497E+01  0.275705E+02
   163  -.272484E+01  -.169822E+01  -.155431E+01  0.275695E+02
   165  -.272502E+01  -.169842E+01  -.155464E+01  0.275685E+02
   197  -.272502E+01  -.169801E+01  -.155469E+01  0.275679E+02
   205  -.272602E+01  -.169949E+01  -.155338E+01  0.275678E+02
   218  -.272557E+01  -.169928E+01  -.155365E+01  0.275661E+02
   232  -.272593E+01  -.169930E+01  -.155349E+01  0.275658E+02
   243  -.272585E+01  -.170004E+01  -.155344E+01  0.275655E+02
